名前,性別,肩書,主君,配偶者,父,母,メモ
劉邦,男,皇帝,,呂雉,,,漢の高祖（君）。楚漢戦争に勝ち前漢を建国
呂雉,女,皇后,,劉邦,,,劉邦の皇后・呂后
劉盈,男,恵帝,,,劉邦,呂雉,劉邦と呂雉の子・第2代皇帝
蕭何,男,丞相,劉邦,,,,漢の三傑の一（臣）。律令・兵站を支える
曹参,男,丞相,劉邦,,,,蕭何を継ぐ丞相（臣）。「蕭規曹随」
張良,男,軍師,劉邦,,,,漢の三傑の一（谋士）。字は子房
陳平,男,軍師,劉邦,,,,離間の計で名高い謀臣（谋士）
韓信,男,大将軍,劉邦,,,,漢の三傑の一（将）。国士無双
樊噲,男,将軍,劉邦,,,,鴻門の会で劉邦を守った猛将（将）
周勃,男,将軍,劉邦,,,,後に呂氏を誅し漢室を安定させる（将）
灌嬰,男,将軍,劉邦,,,,騎兵を率いた将（将）
酈食其,男,説客,劉邦,,,,弁舌の説客（谋士）
英布,男,淮南王,劉邦,,,,黥布。猛将から諸侯王へ（将）
彭越,男,梁王,劉邦,,,,遊撃戦で項羽を苦しめた将（将）
盧綰,男,燕王,劉邦,,,,劉邦の幼馴染・諸侯王（将）
項羽,男,西楚覇王,,虞姫,,,楚の君主（君）。劉邦の宿敵
虞姫,女,妃,,項羽,,,項羽の寵姫。四面楚歌の別れ
范増,男,軍師,項羽,,,,項羽の亜父・謀臣（谋士）
龍且,男,将軍,項羽,,,,項羽麾下の猛将（将）
鍾離眜,男,将軍,項羽,,,,項羽の名将（将）
季布,男,将軍,項羽,,,,任侠で知られる将（将）
項伯,男,左尹,項羽,,,,項羽の叔父。鴻門の会で劉邦をかばう（臣）
夏侯嬰,男,太僕,劉邦,,,,劉邦の御者を務めた側近（臣）
